time,open,high,low,close,Overbought,Oversold
2016-05-17T06:30:00-07:00,0.974,1.192,0.783,1.191,0,0
2016-05-18T06:30:00-07:00,1.864,1.864,0.981,1.013,0,0
2016-05-19T06:30:00-07:00,0.968,1.558,0.906,1.348,0,0
2016-05-20T06:30:00-07:00,1.159,1.611,0.999,1.021,0,0
2016-05-23T06:30:00-07:00,0.834,0.997,0.834,0.98,0,0
2016-05-24T06:30:00-07:00,0.64,0.98,0.64,0.965,0,0
2016-05-25T06:30:00-07:00,0.883,1.019,0.732,0.972,0,0
2016-05-26T06:30:00-07:00,0.634,1.008,0.508,0.924,0,0
2016-05-27T06:30:00-07:00,0.987,0.987,0.745,0.872,0,0
2016-05-31T06:30:00-07:00,0.831,1,0.778,0.916,0,0
2016-06-01T06:30:00-07:00,1.267,1.404,1.02,1.027,0,0
2016-06-02T06:30:00-07:00,0.826,1.032,0.796,0.912,0,0
2016-06-03T06:30:00-07:00,0.813,0.895,0.752,0.844,0,0
2016-06-06T06:30:00-07:00,0.674,0.794,0.535,0.72,0,0
2016-06-07T06:30:00-07:00,1.109,1.124,0.775,0.845,0,0
2016-06-08T06:30:00-07:00,0.595,0.851,0.558,0.84,0,0
2016-06-09T06:30:00-07:00,0.948,0.997,0.798,0.92,0,0
2016-06-10T06:30:00-07:00,1.361,1.375,0.995,1.084,0,0
2016-06-13T06:30:00-07:00,1.621,1.621,0.835,0.902,0,0
2016-06-14T06:30:00-07:00,0.725,1.024,0.634,1.008,0,0
2016-06-15T06:30:00-07:00,1.773,1.901,1.108,1.154,0,0
2016-06-16T06:30:00-07:00,1.2,1.603,1.167,1.377,0,0
2016-06-17T06:30:00-07:00,0.948,1.225,0.92,1.096,0,0
2016-06-20T06:30:00-07:00,1.024,1.084,0.918,0.973,0,0
2016-06-21T06:30:00-07:00,0.671,1.193,0.663,0.948,0,0
2016-06-22T06:30:00-07:00,1.044,1.184,0.798,1.007,0,0
2016-06-23T06:30:00-07:00,0.937,1.408,0.929,1.255,0,0
2016-06-24T06:30:00-07:00,1.137,1.247,0.991,1.217,0,0
2016-06-27T06:30:00-07:00,1.279,1.346,1.208,1.274,0,0
2016-06-28T06:30:00-07:00,0.825,1.197,0.819,1.137,0,0
2016-06-29T06:30:00-07:00,1.266,1.328,1.098,1.144,0,0
2016-06-30T06:30:00-07:00,2.053,2.056,1.192,1.24,0,0
2016-07-01T06:30:00-07:00,1.533,1.569,0.896,0.901,0,0
2016-07-05T06:30:00-07:00,1.065,1.259,0.88,1.207,0,0
2016-07-06T06:30:00-07:00,0.808,1.233,0.761,1.002,0,0
2016-07-07T06:30:00-07:00,0.872,1.047,0.79,0.859,0,0
2016-07-08T06:30:00-07:00,1.322,1.376,0.723,0.734,0,0
2016-07-11T06:30:00-07:00,0.829,0.829,0.686,0.756,0,0
2016-07-12T06:30:00-07:00,0.658,0.774,0.563,0.771,0,0
2016-07-13T06:30:00-07:00,0.769,1.068,0.745,0.886,0,0
2016-07-14T06:30:00-07:00,0.419,0.614,0.285,0.612,0,0
2016-07-15T06:30:00-07:00,0.823,0.869,0.709,0.825,0,0
2016-07-18T06:30:00-07:00,0.96,0.96,0.722,0.903,0,0
2016-07-19T06:30:00-07:00,1.059,1.122,0.886,0.912,0,0
2016-07-20T06:30:00-07:00,1.944,1.955,0.774,0.796,0,0
2016-07-21T06:30:00-07:00,0.85,1.009,0.839,0.939,0,0
2016-07-22T06:30:00-07:00,0.949,1.045,0.705,0.797,0,0
2016-07-25T06:30:00-07:00,0.994,1.24,0.88,0.903,0,0
2016-07-26T06:30:00-07:00,0.828,1.194,0.812,0.915,0,0
2016-07-27T06:30:00-07:00,0.828,1.194,0.727,0.9,0,0
2016-07-28T06:30:00-07:00,0.866,1.072,0.866,0.894,0,0
2016-07-29T06:30:00-07:00,0.866,1.344,0.866,1.197,0,0
2016-08-01T06:30:00-07:00,0.866,1.367,0.848,1.347,0,0
2016-08-02T06:30:00-07:00,0.866,1.571,0.848,1.136,0,0
2016-08-03T06:30:00-07:00,0.671,0.932,0.671,0.921,0,0
2016-08-04T06:30:00-07:00,0.946,1.007,0.834,0.917,0,0
2016-08-05T06:30:00-07:00,0.799,1.018,0.764,0.916,0,0
2016-08-08T06:30:00-07:00,0.997,1.82,0.963,0.966,0,0
2016-08-09T06:30:00-07:00,1.969,1.969,0.775,0.9,0,0
2016-08-10T06:30:00-07:00,0.851,0.896,0.773,0.859,0,0
2016-08-11T06:30:00-07:00,0.848,1.022,0.843,0.931,0,0
2016-08-12T06:30:00-07:00,0.715,0.771,0.589,0.759,0,0
2016-08-15T06:30:00-07:00,0.734,0.817,0.634,0.77,0,0
2016-08-16T06:30:00-07:00,0.886,1.029,0.862,1.021,0,0
2016-08-17T06:30:00-07:00,1.424,1.437,0.863,0.881,0,0
2016-08-18T06:30:00-07:00,1.374,1.67,0.817,0.84,0,0
2016-08-19T06:30:00-07:00,0.803,0.868,0.663,0.821,0,0
2016-08-22T06:30:00-07:00,0.944,1.167,0.916,0.916,0,0
2016-08-23T06:30:00-07:00,0.786,0.849,0.559,0.837,0,0
2016-08-24T06:30:00-07:00,1.095,1.095,0.606,0.903,0,0
2016-08-25T06:30:00-07:00,1.241,1.301,1.022,1.113,0,0
2016-08-26T06:30:00-07:00,0.927,1.056,0.922,1.032,0,0
2016-08-29T06:30:00-07:00,0.816,0.942,0.752,0.9,0,0
2016-08-30T06:30:00-07:00,0.955,1.11,0.852,0.95,0,0
2016-08-31T06:30:00-07:00,1.134,1.407,1.035,1.169,0,0
2016-09-01T06:30:00-07:00,1.006,1.163,0.921,0.975,0,0
2016-09-02T06:30:00-07:00,0.965,1.087,0.894,0.939,0,0
2016-09-06T06:30:00-07:00,1.189,1.212,0.793,0.857,0,0
2016-09-07T06:30:00-07:00,0.962,1.04,0.788,0.853,0,0
2016-09-08T06:30:00-07:00,0.97,1.22,0.914,0.94,0,0
2016-09-09T06:30:00-07:00,1.124,1.174,0.999,1.167,0,0
2016-09-12T06:30:00-07:00,0.971,1.044,0.888,0.997,0,0
2016-09-13T06:30:00-07:00,1.003,1.095,0.886,0.964,0,0
2016-09-14T06:30:00-07:00,0.734,1.117,0.717,1.088,0,0
2016-09-15T06:30:00-07:00,0.999,0.999,0.755,0.838,0,0
2016-09-16T06:30:00-07:00,1.224,1.224,0.963,0.978,0,0
2016-09-19T06:30:00-07:00,0.619,0.776,0.569,0.775,0,0
2016-09-20T06:30:00-07:00,1.057,1.113,0.746,0.964,0,0
2016-09-21T06:30:00-07:00,1.507,1.507,0.939,0.982,0,0
2016-09-22T06:30:00-07:00,0.734,0.933,0.706,0.932,0,0
2016-09-23T06:30:00-07:00,0.91,1.012,0.711,1.012,0,0
2016-09-26T06:30:00-07:00,1.174,1.32,1.107,1.143,0,0
2016-09-27T06:30:00-07:00,1.057,1.238,0.936,0.971,0,0
2016-09-28T06:30:00-07:00,0.73,0.91,0.723,0.885,0,0
2016-09-29T06:30:00-07:00,0.996,1.073,0.805,1.02,0,0
2016-09-30T06:30:00-07:00,1.058,1.125,0.953,0.999,0,0
2016-10-03T06:30:00-07:00,0.961,1.135,0.717,1.029,0,0
2016-10-04T06:30:00-07:00,0.822,1.147,0.782,0.88,0,0
2016-10-05T06:30:00-07:00,0.426,0.771,0.361,0.759,0,0
2016-10-06T06:30:00-07:00,1.103,1.114,0.846,0.98,0,0
2016-10-07T06:30:00-07:00,1.202,1.346,1.1,1.155,0,0
2016-10-10T06:30:00-07:00,1.202,1.518,0.834,0.913,0,0
2016-10-11T06:30:00-07:00,1.202,1.518,0.834,1.101,0,0
2016-10-12T06:30:00-07:00,1.202,1.518,0.807,0.98,0,0
2016-10-13T06:30:00-07:00,1.075,1.535,0.96,0.966,0,0
2016-10-14T06:30:00-07:00,1.075,1.535,0.661,0.924,0,0
2016-10-17T06:30:00-07:00,1.075,1.535,0.661,0.943,0,0
2016-10-18T06:30:00-07:00,1.075,1.535,0.661,0.964,0,0
2016-10-19T06:30:00-07:00,1.075,1.651,0.661,0.937,0,0
2016-10-20T06:30:00-07:00,1.075,1.651,0.661,0.972,0,0
2016-10-21T06:30:00-07:00,1.075,1.651,0.633,0.943,0,0
2016-10-24T06:30:00-07:00,1.075,1.651,0.633,0.905,0,0
2016-10-25T06:30:00-07:00,1.075,1.651,0.633,0.943,0,0
2016-10-26T06:30:00-07:00,1.075,1.651,0.633,0.89,0,0
2016-10-27T06:30:00-07:00,1.075,1.651,0.633,0.82,0,0
2016-10-28T06:30:00-07:00,1.075,1.651,0.633,1.104,0,0
2016-10-31T06:30:00-07:00,1.075,1.651,0.633,1.033,0,0
2016-11-01T06:30:00-07:00,1.075,1.651,0.633,1.414,0,0
2016-11-02T06:30:00-07:00,1.075,1.651,0.633,1.285,0,0
2016-11-03T06:30:00-07:00,1.075,1.651,0.633,1.171,0,0
2016-11-04T06:30:00-07:00,1.075,1.651,0.633,1.351,0,0
2016-11-07T06:30:00-08:00,1.075,1.868,0.633,1.197,0,0
2016-11-08T06:30:00-08:00,1.075,1.868,0.633,1.459,0,0
2016-11-09T06:30:00-08:00,1.075,1.868,0.633,1.057,0,0
2016-11-10T06:30:00-08:00,1.075,1.868,0.528,0.876,0,0
2016-11-11T06:30:00-08:00,1.075,1.868,0.528,1.051,0,0
2016-11-14T06:30:00-08:00,1.075,1.868,0.528,0.907,0,0
2016-11-15T06:30:00-08:00,1.075,1.868,0.528,0.918,0,0
2016-11-16T06:30:00-08:00,1.075,1.868,0.528,1.026,0,0
2016-11-17T06:30:00-08:00,1.075,1.868,0.528,0.871,0,0
2016-11-18T06:30:00-08:00,1.075,1.868,0.528,0.944,0,0
2016-11-21T06:30:00-08:00,0.997,0.997,0.738,0.835,0,0
2016-11-22T06:30:00-08:00,1.333,1.333,0.927,0.989,0,0
2016-11-23T06:30:00-08:00,1.137,1.256,0.924,0.955,0,0
2016-11-25T06:30:00-08:00,0.88,0.88,0.558,0.774,0,0
2016-11-28T06:30:00-08:00,0.533,0.923,0.533,0.923,0,0
2016-11-29T06:30:00-08:00,0.781,1.047,0.778,0.962,0,0
2016-11-30T06:30:00-08:00,0.624,0.921,0.624,0.901,0,0
2016-12-01T06:30:00-08:00,0.906,1.097,0.876,0.949,0,0
2016-12-02T06:30:00-08:00,0.802,0.988,0.743,0.923,0,0
2016-12-05T06:30:00-08:00,0.675,0.867,0.65,0.866,0,0
2016-12-06T06:30:00-08:00,0.915,1.067,0.818,0.828,0,0
2016-12-07T06:30:00-08:00,1.106,1.126,0.688,0.842,0,0
2016-12-08T06:30:00-08:00,0.549,0.752,0.541,0.752,0,0
